code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job,Hours,GVA/H volume,Population
TLC31,Hartlepool and Stockton-on-Tees,2008,27.83,,,,,,,,,,8632.591708359578,374.6959230207344,1124.3392428360426,3663758.6875,84.5,280418.0
TLC31,Hartlepool and Stockton-on-Tees,2009,28.49,,,,,,,,,,6958.386121456341,304.34325987513176,1054.8035650010665,3519571.25,86.46,281508.0
TLC31,Hartlepool and Stockton-on-Tees,2010,29.11,,,,,,,,,,5348.202165078801,123.99061115479729,798.6153512429182,3502079.625,87.52,282675.0
TLC31,Hartlepool and Stockton-on-Tees,2011,29.88,,,,,,,,,,7125.427630826507,447.0320507314508,1052.3563111971791,3535973.6875,92.68,283912.0
TLC31,Hartlepool and Stockton-on-Tees,2012,30.72,,,,,,,,,,11820.510084947302,710.2592747444711,1416.3649864787405,3275221.875,101.53,285181.0
TLC31,Hartlepool and Stockton-on-Tees,2013,31.31,,,,,,,,,,10463.647046299406,480.56603846003094,1317.1541818864685,3463127.5,97.27,286388.0
TLC31,Hartlepool and Stockton-on-Tees,2014,31.87,,,,,,,,,,11747.182874856997,657.7414532542006,1372.4719461655973,3529957.875,96.0,287471.0
TLC31,Hartlepool and Stockton-on-Tees,2015,32.2,,,,,,,,,,11269.319066270877,598.3819147718661,1247.6846649643353,3622690.5,99.18,287915.0
TLC31,Hartlepool and Stockton-on-Tees,2016,32.5,0.3814461883408072,,0.19410229178311908,0.3254348798211291,0.7350475125768586,0.25832313924050637,0.6197345083693604,,,13320.194540189384,488.51756138402624,1024.8590467915628,3615434.1875,100.86,288672.0
TLC31,Hartlepool and Stockton-on-Tees,2017,32.66,0.493320208128252,0.11527541169789893,0.224021897810219,0.3084536777091522,0.7400971364402023,0.2807837182724942,0.6155132848571981,,,14542.759923927906,477.95915127114336,1117.4558623904018,3777479.125,93.68,289352.0
TLC31,Hartlepool and Stockton-on-Tees,2018,33.67,0.6521134593993326,0.11336032388663968,0.22505274971941636,0.3194668911335578,0.7397598204264871,0.290309909692333,0.6149131978591911,,,13748.687737311287,584.8041177263962,1508.6737686925512,3681766.8125,94.95,289797.0
TLC31,Hartlepool and Stockton-on-Tees,2019,35.04,0.5633297928836962,0.12703016241299303,0.20904691916336915,0.31967665347654045,0.7504070096099491,0.31646433990895295,0.6115584195588067,,,13059.309239364302,642.5997456985235,1386.4093661391332,3714824.1875,96.26,289261.0
TLC31,Hartlepool and Stockton-on-Tees,2020,36.9,0.6407201841072154,0.11169590643274854,0.1720193842645382,0.3596054732041049,0.7700285062713798,0.2958602027914818,0.6077826674520946,,,9102.832648470621,578.6509266242006,1535.8957790700201,3166026.1875,106.33,288590.0
TLC31,Hartlepool and Stockton-on-Tees,2021,38.08,0.5766649457924625,0.1282346175963197,0.1761588201928531,0.3400850822461713,0.7562819058423143,0.32849833478792106,0.6087560038258744,,0.04394687037315194,,,,3605178.3125,98.21,289607.0
TLC31,Hartlepool and Stockton-on-Tees,2022,39.17,0.46085918854415275,0.11569767441860465,0.13614577424844015,0.3463085649461146,0.7518905275099262,0.36208325693788757,0.5997435016447872,,0.8741459984222533,,,,3627390.625,100.0,293959.0
TLC31,Hartlepool and Stockton-on-Tees,2023,39.7,0.3046739757645701,0.12114014251781473,0.13423503077783996,0.3591673195299384,0.7535618354784556,0.3300152116897715,0.6001054466201672,0.6306935324049276,0.9135637115094726,,,,3559419.5625,98.15,297781.0
TLC31,Hartlepool and Stockton-on-Tees,2024,,,,0.11994366982710541,0.3936430563301729,0.7444974902398217,0.32981133162779747,,0.7609432913765399,0.9257073526202027,,,,,,
TLC31,Hartlepool and Stockton-on-Tees,2025,,,,,,,,,0.9034003749330477,0.9385021619016352,,,,,,
TLC32,South Teesside,2008,23.07,,,,,,,,,,10879.358877492705,448.65366645187106,1230.9767063966904,3212606.125,94.85,274397.0
TLC32,South Teesside,2009,23.81,,,,,,,,,,11189.117761953343,445.8512708463782,1213.864889121785,3235820.625,92.87,273140.0
TLC32,South Teesside,2010,24.32,,,,,,,,,,11265.427603703256,336.8097288517313,984.60409742608,3133469.625,95.19,273050.0
TLC32,South Teesside,2011,24.48,,,,,,,,,,7861.746243488648,474.3985141184588,1159.2394867138296,3103800.875,96.08,273532.0
TLC32,South Teesside,2012,24.58,,,,,,,,,,7523.0422025346,540.9574331843006,1294.928239469288,3289398.75,92.63,273423.0
TLC32,South Teesside,2013,24.99,,,,,,,,,,7701.595881588544,430.2429950549305,1332.868536514246,3286318.0,90.89,273426.0
TLC32,South Teesside,2014,25.8,,,,,,,,,,8579.295015155978,370.5869483693329,1145.7351516790009,3149367.75,96.94,274136.0
TLC32,South Teesside,2015,26.7,,,,,,,,,,12063.935972997977,391.7291946810047,1197.792646649518,3134228.0,100.24,274972.0
TLC32,South Teesside,2016,27.42,0.22484306638767357,,0.21212389900176157,0.2815490311215502,0.7168261890780975,0.20420952420450186,0.617044635190023,,,9649.65357430303,433.7513184366406,1062.334273636452,3121094.25,99.97,275993.0
TLC32,South Teesside,2017,27.83,0.22882950696273993,0.12740213523131672,0.2631435294117647,0.28219529411764704,0.7116741176470589,0.24868725339383135,0.6141685061615553,,,13389.415271494749,480.30546854427655,1227.4894294762175,3082417.125,100.29,276797.0
