code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,4G connectivity,Fibre connectivity,Population,GVA/H volume,Hours
TLC12,South Teesside,2013,25.0,,,0.2589090909090909,0.2554181818181818,0.7115636363636364,0.2551689359556228,0.6285978656016619,,,273426.0,94.1,3286288.0
TLC12,South Teesside,2014,25.8,,,0.2412587412587412,0.2476689976689976,0.729458041958042,0.2493268712977921,0.6259666734759389,,,274136.0,100.3,3149308.0
TLC12,South Teesside,2015,26.7,,,0.2250955039670878,0.2832794593006171,0.7255362915074934,0.2269807280513918,0.6187902768281861,,,274972.0,103.8,3134147.0
TLC12,South Teesside,2016,27.4,0.225204644964782,,0.2117647058823529,0.2805882352941176,0.7254411764705883,0.2153186930905195,0.6159576510998467,,,275993.0,103.6,3121012.0
TLC12,South Teesside,2017,27.9,0.2305949008498583,0.1274021352313167,0.2620061683066529,0.2819797327067117,0.7184608606256425,0.2389149713093375,0.6149813762432397,,,276797.0,103.9,3082333.0
TLC12,South Teesside,2018,28.4,0.2313046582188113,0.1400422237860661,0.25431479569258,0.2826375571618232,0.7092491517922997,0.2374429223744292,0.6110884748659554,0.8206929631783538,0.0034969009213063,277333.0,104.3,3208465.0
TLC12,South Teesside,2019,28.8,0.2052232221634021,0.1323731138545953,0.2661529342027267,0.2637818612922347,0.7068761114404268,0.2628918099089989,0.60502164377961,0.8535716057426754,0.0074945468276827,278833.0,100.0,3296796.0
TLC12,South Teesside,2020,29.5,,0.1243986254295532,0.2335550628233555,0.3003695491500369,0.7028824833702882,0.2681592039800995,0.606117621761101,0.8329827054920752,0.0164866199778842,279030.0,101.2,2827734.0
TLC12,South Teesside,2021,29.8,,0.1266937669376693,0.1863242759032547,0.3057629143027769,0.7088683189011645,0.2994871794871795,0.5968675592055548,0.8176565451145394,0.0464840535881252,280548.0,93.9,3383990.0
TLC12,South Teesside,2022,30.2,,0.1420911528150134,0.1366348448687351,0.2738663484486873,0.711217183770883,0.3615702479338843,0.5871225390597632,0.8571153793228319,0.1340684772768423,285460.0,101.6,3330047.0
TLC12,South Teesside,2023,,,,,,,,,0.9075104039845048,0.1946163404940383,,,
TLC12,South Teesside,2024,,,,,,,,,0.8992560309274653,0.2520217898051254,,,
TLC13,Darlington,2004,26.5,,,,,,,,,,99343.0,61.9,1560947.0
TLC13,Darlington,2005,26.5,,,,,,,,,,100287.0,63.0,1534492.0
TLC13,Darlington,2006,25.6,,,,,,,,,,101509.0,61.7,1635509.0
TLC13,Darlington,2007,25.2,,,,,,,,,,102632.0,58.6,1690321.0
TLC13,Darlington,2008,25.1,,,,,,,,,,103694.0,61.0,1725340.0
TLC13,Darlington,2009,25.3,,,,,,,,,,104355.0,63.5,1594375.0
TLC13,Darlington,2010,25.5,,,,,,,,,,105028.0,59.9,1778098.0
TLC13,Darlington,2011,26.2,,,,,,,,,,105584.0,70.4,1586514.0
TLC13,Darlington,2012,26.9,,,0.2545180722891566,0.2756024096385542,0.7695783132530121,0.2875816993464052,0.629044023608098,,,105557.0,67.8,1694607.0
TLC13,Darlington,2013,28.3,,,0.2184300341296928,0.3048919226393629,0.7777777777777778,0.2593856655290102,0.6243429837770265,,,105591.0,74.4,1572926.0
TLC13,Darlington,2014,29.5,,,0.2009897221164826,0.301484583174724,0.7978682908260373,0.2485875706214689,0.6206000472478148,,,105825.0,80.5,1699487.0
TLC13,Darlington,2015,30.9,,,0.2013835511145273,0.3120676402767102,0.7713297463489623,0.2521008403361344,0.6137487262708986,,,105988.0,92.3,1643203.0
TLC13,Darlington,2016,31.6,,,0.1823802163833075,0.3261205564142195,0.7955950540958269,0.2665406427221172,0.6088953302339588,,,106258.0,93.5,1555016.0
